Post Character ID,Full Set Character ID,Difference (%)
p25_39,1356,13.9375
p25_4,7189,7.875
p25_40,8911,8.75
p25_41,1616,13.375
p25_42,4008,12.4375
p25_43,2806,17.125
p25_44,7486,13.3125
p25_45,3952,19.625
p25_46,2469,15.375
p25_47,3779,15.25
p25_48,5619,10.6875
p25_5,2527,10.375
p25_6,6336,11.875
p25_7,0681,12.8125
p25_8,6749,27.0625
p25_9,1319,16.25
p2_1,8435,23.875
p2_10,1358,6.5625
p2_11,1430,11.0625
p2_12,0243,16.1875
p2_13,0046,8.5
p2_14,0681,12.0
p2_15,1049,14.8125
p2_16,1857,17.5
p2_17,3383,15.4375
p2_18,1336,14.0625
p2_19,1283,13.25
p2_2,3137,16.9375
p2_20,2806,15.1875
p2_3,3372,11.0
p2_4,2806,11.0
p2_5,0504,13.0
p2_6,1504,13.6875
p2_7,0243,13.9375
p2_8,0089,12.5
p2_9,3131,9.0625
p3_1,2785,7.1875
p3_2,0829,10.375
p3_3,1907,12.125
p3_4,2806,12.6875
p4_1,0799,15.0
p4_2,1660,10.1875
p5_1,3167,13.8125
p5_2,2989,14.5
p6_1,3954,14.9375
p6_2,1447,12.375
p6_3,3666,10.75
p7_1,1126,11.1875
p7_10,0265,15.9375
p7_11,1983,16.6875
p7_12,2781,11.75
p7_13,2023,10.625
p7_14,1430,10.5625
p7_15,1319,20.5
p7_16,4015,10.375
p7_17,1904,13.0625
p7_18,2785,7.8125
p7_19,2856,16.6875
p7_2,0852,14.75
p7_20,2204,13.875
p7_21,2806,12.375
p7_22,0046,5.625
p7_23,3967,11.6875
p7_24,0243,11.625
p7_25,2527,13.1875
p7_26,0681,10.25
p7_27,2934,11.25
p7_28,2159,8.9375
p7_29,0398,22.0
p7_3,0276,7.9375
p7_30,3939,15.5
p7_31,1049,15.375
p7_32,3954,17.75
p7_33,0129,10.5
p7_34,0528,14.8125
p7_35,1024,15.75
p7_36,3491,9.625
p7_37,1421,17.0625
p7_38,1985,15.25
p7_39,1366,13.25
p7_4,2781,10.625
p7_40,3131,9.5
p7_41,1488,15.625
p7_42,2159,10.375
p7_43,0521,14.8125
p7_44,1304,12.6875
